Classifier,FPR,TPR
Logistic Regression,0.0,0.0
Logistic Regression,0.0,0.0065
Logistic Regression,0.0024,0.0065
Logistic Regression,0.0024,0.013
Logistic Regression,0.0036,0.013
Logistic Regression,0.0036,0.0325
Logistic Regression,0.012,0.0325
Logistic Regression,0.012,0.039
Logistic Regression,0.0132,0.039
Logistic Regression,0.0132,0.0519
Logistic Regression,0.0156,0.0519
Logistic Regression,0.0156,0.0584
Logistic Regression,0.0168,0.0584
Logistic Regression,0.0168,0.0649
Logistic Regression,0.0192,0.0649
Logistic Regression,0.0192,0.0974
Logistic Regression,0.0228,0.0974
Logistic Regression,0.0228,0.1169
Logistic Regression,0.0288,0.1169
Logistic Regression,0.0288,0.1234
Logistic Regression,0.0385,0.1234
Logistic Regression,0.0385,0.1299
Logistic Regression,0.0409,0.1299
Logistic Regression,0.0409,0.1429
Logistic Regression,0.0421,0.1429
Logistic Regression,0.0421,0.1558
Logistic Regression,0.0469,0.1558
Logistic Regression,0.0469,0.1623
Logistic Regression,0.0481,0.1623
Logistic Regression,0.0481,0.1688
Logistic Regression,0.0493,0.1688
Logistic Regression,0.0493,0.1753
Logistic Regression,0.0505,0.1753
Logistic Regression,0.0505,0.1818
Logistic Regression,0.0541,0.1818
Logistic Regression,0.0541,0.1948
Logistic Regression,0.0553,0.1948
Logistic Regression,0.0553,0.2013
Logistic Regression,0.0589,0.2013
Logistic Regression,0.0589,0.2078
Logistic Regression,0.0625,0.2078
Logistic Regression,0.0625,0.2208
Logistic Regression,0.0637,0.2208
Logistic Regression,0.0637,0.2468
Logistic Regression,0.0649,0.2468
Logistic Regression,0.0649,0.2532
Logistic Regression,0.0673,0.2532
Logistic Regression,0.0673,0.2597
Logistic Regression,0.0685,0.2597
Logistic Regression,0.0685,0.2662
Logistic Regression,0.0721,0.2662
Logistic Regression,0.0721,0.2727
Logistic Regression,0.0841,0.2727
Logistic Regression,0.0841,0.2792
Logistic Regression,0.0913,0.2792
Logistic Regression,0.0913,0.2922
Logistic Regression,0.0974,0.2922
Logistic Regression,0.0974,0.2987
Logistic Regression,0.0998,0.2987
Logistic Regression,0.0998,0.3117
Logistic Regression,0.101,0.3117
Logistic Regression,0.101,0.3182
Logistic Regression,0.1034,0.3182
Logistic Regression,0.1034,0.3247
Logistic Regression,0.1058,0.3247
Logistic Regression,0.1058,0.3377
Logistic Regression,0.1094,0.3377
Logistic Regression,0.1094,0.3442
Logistic Regression,0.1106,0.3442
Logistic Regression,0.1106,0.3506
Logistic Regression,0.1142,0.3506
Logistic Regression,0.1142,0.3571
Logistic Regression,0.119,0.3571
Logistic Regression,0.119,0.3636
Logistic Regression,0.1238,0.3636
Logistic Regression,0.1238,0.3701
Logistic Regression,0.1322,0.3701
Logistic Regression,0.1322,0.3766
Logistic Regression,0.1358,0.3766
Logistic Regression,0.1358,0.3831
Logistic Regression,0.1502,0.3831
Logistic Regression,0.1502,0.4091
Logistic Regression,0.1562,0.4091
Logistic Regression,0.1562,0.4156
Logistic Regression,0.1587,0.4156
Logistic Regression,0.1587,0.4221
Logistic Regression,0.1647,0.4221
Logistic Regression,0.1647,0.4286
Logistic Regression,0.1683,0.4286
Logistic Regression,0.1683,0.4545
Logistic Regression,0.1707,0.4545
Logistic Regression,0.1707,0.4675
Logistic Regression,0.1719,0.4675
Logistic Regression,0.1719,0.487
Logistic Regression,0.1755,0.487
Logistic Regression,0.1755,0.4935
Logistic Regression,0.1767,0.4935
Logistic Regression,0.1767,0.5
Logistic Regression,0.1827,0.5
Logistic Regression,0.1827,0.5065
Logistic Regression,0.2019,0.5065
Logistic Regression,0.2019,0.513
Logistic Regression,0.2079,0.513
Logistic Regression,0.2079,0.5195
Logistic Regression,0.2139,0.5195
Logistic Regression,0.2139,0.5325
Logistic Regression,0.2224,0.5325
Logistic Regression,0.2224,0.539
Logistic Regression,0.226,0.539
Logistic Regression,0.226,0.5584
Logistic Regression,0.2272,0.5584
Logistic Regression,0.2272,0.5649
Logistic Regression,0.2284,0.5649
Logistic Regression,0.2284,0.5714
Logistic Regression,0.2392,0.5714
Logistic Regression,0.2392,0.5779
Logistic Regression,0.2452,0.5779
Logistic Regression,0.2452,0.5844
Logistic Regression,0.2632,0.5844
Logistic Regression,0.2632,0.5909
Logistic Regression,0.2668,0.5909
Logistic Regression,0.2668,0.5974
Logistic Regression,0.274,0.5974
Logistic Regression,0.274,0.6039
Logistic Regression,0.2788,0.6039
Logistic Regression,0.2788,0.6104
Logistic Regression,0.2849,0.6104
Logistic Regression,0.2849,0.6169
Logistic Regression,0.2873,0.6169
Logistic Regression,0.2873,0.6234
Logistic Regression,0.2981,0.6234
Logistic Regression,0.2981,0.6364
Logistic Regression,0.3065,0.6364
Logistic Regression,0.3065,0.6429
Logistic Regression,0.3233,0.6429
Logistic Regression,0.3233,0.6558
Logistic Regression,0.3702,0.6558
Logistic Regression,0.3702,0.6753
Logistic Regression,0.3714,0.6753
Logistic Regression,0.3714,0.6818
Logistic Regression,0.3738,0.6818
Logistic Regression,0.3738,0.6948
Logistic Regression,0.387,0.6948
Logistic Regression,0.387,0.7013
Logistic Regression,0.393,0.7013
Logistic Regression,0.393,0.7078
Logistic Regression,0.4002,0.7078
Logistic Regression,0.4002,0.7143
Logistic Regression,0.4123,0.7143
Logistic Regression,0.4123,0.7208
Logistic Regression,0.4207,0.7208
Logistic Regression,0.4207,0.7338
Logistic Regression,0.4231,0.7338
Logistic Regression,0.4231,0.7403
Logistic Regression,0.4435,0.7403
Logistic Regression,0.4435,0.7468
Logistic Regression,0.4459,0.7468
Logistic Regression,0.4459,0.7532
Logistic Regression,0.4543,0.7532
Logistic Regression,0.4543,0.7597
Logistic Regression,0.4555,0.7597
Logistic Regression,0.4555,0.7662
Logistic Regression,0.4639,0.7662
Logistic Regression,0.4639,0.7727
Logistic Regression,0.4651,0.7727
Logistic Regression,0.4651,0.7792
Logistic Regression,0.476,0.7792
Logistic Regression,0.476,0.7857
Logistic Regression,0.4844,0.7857
Logistic Regression,0.4844,0.7922
Logistic Regression,0.5036,0.7922
Logistic Regression,0.5036,0.7987
Logistic Regression,0.5228,0.7987
Logistic Regression,0.5228,0.8052
Logistic Regression,0.5312,0.8052
Logistic Regression,0.5312,0.8117
Logistic Regression,0.5373,0.8117
Logistic Regression,0.5373,0.8182
Logistic Regression,0.5433,0.8182
Logistic Regression,0.5433,0.8247
Logistic Regression,0.5529,0.8247
Logistic Regression,0.5529,0.8312
Logistic Regression,0.5805,0.8312
Logistic Regression,0.5805,0.8377
Logistic Regression,0.5853,0.8377
Logistic Regression,0.5853,0.8442
Logistic Regression,0.613,0.8442
Logistic Regression,0.613,0.8506
Logistic Regression,0.6478,0.8506
Logistic Regression,0.6478,0.8571
Logistic Regression,0.6827,0.8571
Logistic Regression,0.6827,0.8636
Logistic Regression,0.6911,0.8636
Logistic Regression,0.6911,0.8701
Logistic Regression,0.6923,0.8701
Logistic Regression,0.6923,0.8766
Logistic Regression,0.6935,0.8766
Logistic Regression,0.6935,0.8831
Logistic Regression,0.6959,0.8831
Logistic Regression,0.6959,0.8896
Logistic Regression,0.7019,0.8896
Logistic Regression,0.7019,0.8961
Logistic Regression,0.7067,0.8961
Logistic Regression,0.7067,0.9026
Logistic Regression,0.7091,0.9026
Logistic Regression,0.7091,0.9091
Logistic Regression,0.7175,0.9091
Logistic Regression,0.7175,0.9156
Logistic Regression,0.7236,0.9156
Logistic Regression,0.7236,0.9221
Logistic Regression,0.762,0.9221
Logistic Regression,0.762,0.9286
Logistic Regression,0.774,0.9286
Logistic Regression,0.774,0.9351
Logistic Regression,0.8161,0.9351
Logistic Regression,0.8161,0.9416
Logistic Regression,0.8197,0.9416
Logistic Regression,0.8197,0.9481
Logistic Regression,0.8353,0.9481
Logistic Regression,0.8353,0.9545
Logistic Regression,0.8546,0.9545
Logistic Regression,0.8546,0.961
Logistic Regression,0.8714,0.961
Logistic Regression,0.8714,0.9675
Logistic Regression,0.8882,0.9675
Logistic Regression,0.8882,0.9805
Logistic Regression,0.9291,0.9805
Logistic Regression,0.9291,0.987
Logistic Regression,0.9531,0.987
Logistic Regression,0.9531,0.9935
Logistic Regression,0.9784,0.9935
Logistic Regression,0.9784,1.0
Logistic Regression,1.0,1.0
Random Forest,0.0,0.0
Random Forest,0.0012,0.0
Random Forest,0.0012,0.0065
Random Forest,0.0024,0.0065
Random Forest,0.0024,0.013
Random Forest,0.0048,0.013
Random Forest,0.0048,0.0325
Random Forest,0.006,0.0325
Random Forest,0.006,0.039
Random Forest,0.0084,0.039
Random Forest,0.0084,0.0455
Random Forest,0.0132,0.0455
Random Forest,0.0132,0.0649
Random Forest,0.0156,0.0649
Random Forest,0.0156,0.0779
Random Forest,0.018,0.0779
Random Forest,0.018,0.0909
Random Forest,0.0204,0.0909
Random Forest,0.0204,0.0974
Random Forest,0.0228,0.0974
Random Forest,0.0228,0.1039
Random Forest,0.0288,0.1039
Random Forest,0.0288,0.1169
Random Forest,0.0312,0.1169
Random Forest,0.0312,0.1299
Random Forest,0.0325,0.1299
Random Forest,0.0325,0.1494
Random Forest,0.0349,0.1494
Random Forest,0.0349,0.1558
Random Forest,0.0385,0.1558
Random Forest,0.0385,0.1623
Random Forest,0.0421,0.1623
Random Forest,0.0421,0.1753
Random Forest,0.0433,0.1753
Random Forest,0.0433,0.1883
Random Forest,0.0481,0.1883
Random Forest,0.0481,0.1948
Random Forest,0.0517,0.1948
Random Forest,0.0517,0.2013
Random Forest,0.0577,0.2013
Random Forest,0.0577,0.2078
Random Forest,0.0649,0.2078
Random Forest,0.0649,0.2208
Random Forest,0.0709,0.2208
Random Forest,0.0709,0.2338
Random Forest,0.0865,0.2338
Random Forest,0.0865,0.2403
Random Forest,0.0913,0.2403
Random Forest,0.0913,0.2468
Random Forest,0.0974,0.2468
Random Forest,0.0974,0.2597
Random Forest,0.101,0.2597
Random Forest,0.101,0.2662
Random Forest,0.1022,0.2662
Random Forest,0.1022,0.2727
Random Forest,0.1058,0.2727
Random Forest,0.1058,0.2857
Random Forest,0.1082,0.2857
Random Forest,0.1082,0.2987
Random Forest,0.1238,0.2987
Random Forest,0.1238,0.3117
Random Forest,0.125,0.3117
Random Forest,0.125,0.3247
Random Forest,0.1286,0.3247
Random Forest,0.1286,0.3377
Random Forest,0.1298,0.3377
Random Forest,0.1298,0.3442
Random Forest,0.131,0.3442
Random Forest,0.131,0.3571
Random Forest,0.1334,0.3571
Random Forest,0.1334,0.3636
Random Forest,0.1406,0.3636
Random Forest,0.1406,0.3701
Random Forest,0.1502,0.3701
Random Forest,0.1502,0.3766
Random Forest,0.1514,0.3766
Random Forest,0.1514,0.3831
Random Forest,0.1538,0.3831
Random Forest,0.1538,0.3961
Random Forest,0.1599,0.3961
Random Forest,0.1599,0.4091
Random Forest,0.1647,0.4091
Random Forest,0.1647,0.4156
Random Forest,0.1755,0.4156
Random Forest,0.1755,0.4221
Random Forest,0.1791,0.4221
Random Forest,0.1791,0.4286
Random Forest,0.1803,0.4286
Random Forest,0.1803,0.4351
Random Forest,0.1923,0.4351
Random Forest,0.1923,0.4481
Random Forest,0.1935,0.4481
Random Forest,0.1935,0.4545
Random Forest,0.1947,0.4545
Random Forest,0.1947,0.461
Random Forest,0.1959,0.461
Random Forest,0.1959,0.4675
Random Forest,0.1983,0.4675
Random Forest,0.1983,0.474
Random Forest,0.1995,0.474
Random Forest,0.1995,0.4805
Random Forest,0.2019,0.4805
Random Forest,0.2019,0.487
Random Forest,0.2091,0.487
Random Forest,0.2091,0.4935
Random Forest,0.2139,0.4935
Random Forest,0.2139,0.513
Random Forest,0.2188,0.513
Random Forest,0.2188,0.5195
Random Forest,0.2296,0.5195
Random Forest,0.2296,0.526
Random Forest,0.25,0.526
Random Forest,0.25,0.539
Random Forest,0.2512,0.539
Random Forest,0.2512,0.5455
Random Forest,0.2572,0.5455
Random Forest,0.2572,0.5519
Random Forest,0.2584,0.5519
Random Forest,0.2584,0.5584
Random Forest,0.262,0.5584
Random Forest,0.262,0.5779
Random Forest,0.2692,0.5779
Random Forest,0.2692,0.5844
Random Forest,0.2752,0.5844
Random Forest,0.2752,0.5909
Random Forest,0.2849,0.5909
Random Forest,0.2849,0.5974
Random Forest,0.2873,0.5974
Random Forest,0.2873,0.6039
Random Forest,0.2897,0.6039
Random Forest,0.2897,0.6104
Random Forest,0.3041,0.6104
Random Forest,0.3041,0.6169
Random Forest,0.3137,0.6169
Random Forest,0.3137,0.6234
Random Forest,0.3305,0.6234
Random Forest,0.3305,0.6299
Random Forest,0.3341,0.6299
Random Forest,0.3341,0.6364
Random Forest,0.3377,0.6364
Random Forest,0.3377,0.6429
Random Forest,0.3413,0.6429
Random Forest,0.3413,0.6494
Random Forest,0.3425,0.6494
Random Forest,0.3425,0.6558
Random Forest,0.3498,0.6558
Random Forest,0.3498,0.6623
Random Forest,0.3534,0.6623
Random Forest,0.3534,0.6688
Random Forest,0.3582,0.6688
Random Forest,0.3582,0.6818
Random Forest,0.3618,0.6818
Random Forest,0.3618,0.6883
Random Forest,0.369,0.6883
Random Forest,0.369,0.6948
Random Forest,0.3714,0.6948
Random Forest,0.3714,0.7013
Random Forest,0.3882,0.7013
Random Forest,0.3882,0.7078
Random Forest,0.3894,0.7078
Random Forest,0.3894,0.7143
Random Forest,0.3906,0.7143
Random Forest,0.3906,0.7208
Random Forest,0.4038,0.7208
Random Forest,0.4038,0.7338
Random Forest,0.4243,0.7338
Random Forest,0.4243,0.7403
Random Forest,0.4327,0.7403
Random Forest,0.4327,0.7468
Random Forest,0.4387,0.7468
Random Forest,0.4387,0.7532
Random Forest,0.4688,0.7532
Random Forest,0.4688,0.7597
Random Forest,0.47,0.7597
Random Forest,0.47,0.7662
Random Forest,0.4712,0.7662
Random Forest,0.4712,0.7727
Random Forest,0.4736,0.7727
Random Forest,0.4736,0.7792
Random Forest,0.4808,0.7792
Random Forest,0.4808,0.7922
Random Forest,0.488,0.7922
Random Forest,0.488,0.7987
Random Forest,0.5168,0.7987
Random Forest,0.5168,0.8052
Random Forest,0.5264,0.8052
Random Forest,0.5264,0.8117
Random Forest,0.5312,0.8117
Random Forest,0.5312,0.8182
Random Forest,0.5505,0.8182
Random Forest,0.5505,0.8247
Random Forest,0.5517,0.8247
Random Forest,0.5517,0.8312
Random Forest,0.5541,0.8312
Random Forest,0.5541,0.8377
Random Forest,0.5649,0.8377
Random Forest,0.5649,0.8442
Random Forest,0.5733,0.8442
Random Forest,0.5733,0.8506
Random Forest,0.5938,0.8506
Random Forest,0.5938,0.8571
Random Forest,0.5974,0.8571
Random Forest,0.5974,0.8636
Random Forest,0.6118,0.8636
Random Forest,0.6118,0.8701
Random Forest,0.6202,0.8701
Random Forest,0.6202,0.8766
Random Forest,0.6226,0.8766
Random Forest,0.6226,0.8831
Random Forest,0.6286,0.8831
Random Forest,0.6286,0.8896
Random Forest,0.6538,0.8896
Random Forest,0.6538,0.8961
Random Forest,0.6683,0.8961
Random Forest,0.6683,0.9026
Random Forest,0.6707,0.9026
Random Forest,0.6707,0.9091
Random Forest,0.6983,0.9091
Random Forest,0.6983,0.9156
Random Forest,0.7151,0.9156
Random Forest,0.7151,0.9221
Random Forest,0.7236,0.9221
Random Forest,0.7236,0.9286
Random Forest,0.7284,0.9286
Random Forest,0.7284,0.9351
Random Forest,0.7464,0.9351
Random Forest,0.7464,0.9416
Random Forest,0.774,0.9416
Random Forest,0.774,0.9481
Random Forest,0.7945,0.9481
Random Forest,0.7945,0.9545
Random Forest,0.8233,0.9545
Random Forest,0.8233,0.961
Random Forest,0.8462,0.961
Random Forest,0.8462,0.9675
Random Forest,0.8894,0.9675
Random Forest,0.8894,0.974
Random Forest,0.9303,0.974
Random Forest,0.9303,0.9805
Random Forest,0.9315,0.9805
Random Forest,0.9315,0.9935
Random Forest,0.982,0.9935
Random Forest,0.982,1.0
Random Forest,1.0,1.0
Gradient Boosting,0.0,0.0
Gradient Boosting,0.0,0.0065
Gradient Boosting,0.0,0.013
Gradient Boosting,0.0012,0.013
Gradient Boosting,0.0012,0.0195
Gradient Boosting,0.0024,0.0195
Gradient Boosting,0.0024,0.026
Gradient Boosting,0.0036,0.026
Gradient Boosting,0.0036,0.039
Gradient Boosting,0.0084,0.039
Gradient Boosting,0.0084,0.0455
Gradient Boosting,0.0096,0.0455
Gradient Boosting,0.0096,0.0584
Gradient Boosting,0.0132,0.0584
Gradient Boosting,0.0132,0.0844
Gradient Boosting,0.0156,0.0844
Gradient Boosting,0.0156,0.0909
Gradient Boosting,0.0168,0.0909
Gradient Boosting,0.0168,0.0974
Gradient Boosting,0.024,0.0974
Gradient Boosting,0.024,0.1104
Gradient Boosting,0.0264,0.1104
Gradient Boosting,0.0264,0.1169
Gradient Boosting,0.03,0.1169
Gradient Boosting,0.03,0.1234
Gradient Boosting,0.0349,0.1234
Gradient Boosting,0.0349,0.1299
Gradient Boosting,0.0361,0.1299
Gradient Boosting,0.0361,0.1364
Gradient Boosting,0.0373,0.1364
Gradient Boosting,0.0373,0.1429
Gradient Boosting,0.0385,0.1429
Gradient Boosting,0.0385,0.1494
Gradient Boosting,0.0397,0.1494
Gradient Boosting,0.0397,0.1558
Gradient Boosting,0.0445,0.1558
Gradient Boosting,0.0445,0.1623
Gradient Boosting,0.0457,0.1623
Gradient Boosting,0.0457,0.1753
Gradient Boosting,0.0469,0.1753
Gradient Boosting,0.0469,0.1818
Gradient Boosting,0.0529,0.1818
Gradient Boosting,0.0529,0.1883
Gradient Boosting,0.0541,0.1883
Gradient Boosting,0.0541,0.1948
Gradient Boosting,0.0553,0.1948
Gradient Boosting,0.0553,0.2013
Gradient Boosting,0.0589,0.2013
Gradient Boosting,0.0589,0.2078
Gradient Boosting,0.0613,0.2078
Gradient Boosting,0.0613,0.2208
Gradient Boosting,0.0625,0.2208
Gradient Boosting,0.0625,0.2273
Gradient Boosting,0.0673,0.2273
Gradient Boosting,0.0673,0.2338
Gradient Boosting,0.0685,0.2338
Gradient Boosting,0.0685,0.2403
Gradient Boosting,0.0769,0.2403
Gradient Boosting,0.0769,0.2468
Gradient Boosting,0.0841,0.2468
Gradient Boosting,0.0841,0.2597
Gradient Boosting,0.0853,0.2597
Gradient Boosting,0.0853,0.2662
Gradient Boosting,0.0901,0.2662
Gradient Boosting,0.0901,0.2727
Gradient Boosting,0.101,0.2727
Gradient Boosting,0.101,0.2857
Gradient Boosting,0.1022,0.2857
Gradient Boosting,0.1022,0.2987
Gradient Boosting,0.1034,0.2987
Gradient Boosting,0.1034,0.3052
Gradient Boosting,0.1058,0.3052
Gradient Boosting,0.1058,0.3117
Gradient Boosting,0.107,0.3117
Gradient Boosting,0.107,0.3182
Gradient Boosting,0.1118,0.3182
Gradient Boosting,0.1118,0.3247
Gradient Boosting,0.113,0.3247
Gradient Boosting,0.113,0.3377
Gradient Boosting,0.1142,0.3377
Gradient Boosting,0.1142,0.3442
Gradient Boosting,0.1154,0.3442
Gradient Boosting,0.1154,0.3571
Gradient Boosting,0.119,0.3571
Gradient Boosting,0.119,0.3636
Gradient Boosting,0.1406,0.3636
Gradient Boosting,0.1406,0.3766
Gradient Boosting,0.1442,0.3766
Gradient Boosting,0.1442,0.3831
Gradient Boosting,0.1575,0.3831
Gradient Boosting,0.1575,0.3896
Gradient Boosting,0.1611,0.3896
Gradient Boosting,0.1611,0.4026
Gradient Boosting,0.1623,0.4026
Gradient Boosting,0.1623,0.4156
Gradient Boosting,0.1671,0.4156
Gradient Boosting,0.1671,0.4221
Gradient Boosting,0.1683,0.4221
Gradient Boosting,0.1683,0.4286
Gradient Boosting,0.1743,0.4286
Gradient Boosting,0.1743,0.4351
Gradient Boosting,0.1779,0.4351
Gradient Boosting,0.1779,0.4416
Gradient Boosting,0.1791,0.4416
Gradient Boosting,0.1791,0.4545
Gradient Boosting,0.1803,0.4545
Gradient Boosting,0.1803,0.461
Gradient Boosting,0.1827,0.461
Gradient Boosting,0.1827,0.4805
Gradient Boosting,0.1899,0.4805
Gradient Boosting,0.1899,0.5
Gradient Boosting,0.1911,0.5
Gradient Boosting,0.1911,0.5065
Gradient Boosting,0.1959,0.5065
Gradient Boosting,0.1959,0.513
Gradient Boosting,0.2019,0.513
Gradient Boosting,0.2019,0.5195
Gradient Boosting,0.2115,0.5195
Gradient Boosting,0.2115,0.526
Gradient Boosting,0.2175,0.526
Gradient Boosting,0.2175,0.5325
Gradient Boosting,0.2212,0.5325
Gradient Boosting,0.2212,0.539
Gradient Boosting,0.226,0.539
Gradient Boosting,0.226,0.5455
Gradient Boosting,0.2284,0.5455
Gradient Boosting,0.2284,0.5519
Gradient Boosting,0.2308,0.5519
Gradient Boosting,0.2308,0.5584
Gradient Boosting,0.2392,0.5584
Gradient Boosting,0.2392,0.5649
Gradient Boosting,0.2404,0.5649
Gradient Boosting,0.2404,0.5779
Gradient Boosting,0.2608,0.5779
Gradient Boosting,0.2608,0.5844
Gradient Boosting,0.2704,0.5844
Gradient Boosting,0.2704,0.5909
Gradient Boosting,0.274,0.5909
Gradient Boosting,0.274,0.5974
Gradient Boosting,0.2812,0.5974
Gradient Boosting,0.2812,0.6169
Gradient Boosting,0.2873,0.6169
Gradient Boosting,0.2873,0.6234
Gradient Boosting,0.2921,0.6234
Gradient Boosting,0.2921,0.6299
Gradient Boosting,0.3053,0.6299
Gradient Boosting,0.3053,0.6494
Gradient Boosting,0.3185,0.6494
Gradient Boosting,0.3185,0.6623
Gradient Boosting,0.3233,0.6623
Gradient Boosting,0.3233,0.6688
Gradient Boosting,0.3257,0.6688
Gradient Boosting,0.3257,0.6818
Gradient Boosting,0.3293,0.6818
Gradient Boosting,0.3293,0.6883
Gradient Boosting,0.3341,0.6883
Gradient Boosting,0.3341,0.7013
Gradient Boosting,0.3365,0.7013
Gradient Boosting,0.3365,0.7078
Gradient Boosting,0.3425,0.7078
Gradient Boosting,0.3425,0.7143
Gradient Boosting,0.3462,0.7143
Gradient Boosting,0.3462,0.7208
Gradient Boosting,0.3558,0.7208
Gradient Boosting,0.3558,0.7273
Gradient Boosting,0.3594,0.7273
Gradient Boosting,0.363,0.7273
Gradient Boosting,0.3678,0.7273
Gradient Boosting,0.3678,0.7338
Gradient Boosting,0.3846,0.7338
Gradient Boosting,0.387,0.7338
Gradient Boosting,0.3906,0.7338
Gradient Boosting,0.3906,0.7403
Gradient Boosting,0.4038,0.7403
Gradient Boosting,0.4038,0.7468
Gradient Boosting,0.4147,0.7468
Gradient Boosting,0.4147,0.7532
Gradient Boosting,0.4279,0.7532
Gradient Boosting,0.4279,0.7662
Gradient Boosting,0.4387,0.7662
Gradient Boosting,0.4387,0.7727
Gradient Boosting,0.4495,0.7727
Gradient Boosting,0.4495,0.7792
Gradient Boosting,0.4543,0.7792
Gradient Boosting,0.4543,0.7857
Gradient Boosting,0.4615,0.7857
Gradient Boosting,0.4615,0.7922
Gradient Boosting,0.4736,0.7922
Gradient Boosting,0.4736,0.7987
Gradient Boosting,0.476,0.7987
Gradient Boosting,0.476,0.8052
Gradient Boosting,0.4784,0.8052
Gradient Boosting,0.4808,0.8052
Gradient Boosting,0.482,0.8052
Gradient Boosting,0.4832,0.8117
Gradient Boosting,0.5012,0.8117
Gradient Boosting,0.5036,0.8117
Gradient Boosting,0.5084,0.8117
Gradient Boosting,0.5108,0.8117
Gradient Boosting,0.512,0.8117
Gradient Boosting,0.5144,0.8117
Gradient Boosting,0.5228,0.8117
Gradient Boosting,0.5228,0.8182
Gradient Boosting,0.5445,0.8182
Gradient Boosting,0.5469,0.8182
Gradient Boosting,0.5505,0.8182
Gradient Boosting,0.5817,0.8182
Gradient Boosting,0.5841,0.8182
Gradient Boosting,0.5877,0.8182
Gradient Boosting,0.5901,0.8182
Gradient Boosting,0.5925,0.8182
Gradient Boosting,0.595,0.8182
Gradient Boosting,0.5986,0.8182
Gradient Boosting,0.5986,0.8247
Gradient Boosting,0.6118,0.8247
Gradient Boosting,0.6142,0.8312
Gradient Boosting,0.631,0.8312
Gradient Boosting,0.6334,0.8312
Gradient Boosting,0.6358,0.8377
Gradient Boosting,0.6454,0.8377
Gradient Boosting,0.6454,0.8442
Gradient Boosting,0.6466,0.8442
Gradient Boosting,0.6466,0.8506
Gradient Boosting,0.6647,0.8506
Gradient Boosting,0.6659,0.8571
Gradient Boosting,0.6695,0.8636
Gradient Boosting,0.6719,0.8636
Gradient Boosting,0.6731,0.8636
Gradient Boosting,0.6731,0.8701
Gradient Boosting,0.6863,0.8701
Gradient Boosting,0.6887,0.8701
Gradient Boosting,0.6911,0.8701
Gradient Boosting,0.6947,0.8701
Gradient Boosting,0.7007,0.8701
Gradient Boosting,0.7055,0.8701
Gradient Boosting,0.7067,0.8766
Gradient Boosting,0.7091,0.8766
Gradient Boosting,0.7188,0.8766
Gradient Boosting,0.7212,0.8766
Gradient Boosting,0.7224,0.8766
Gradient Boosting,0.7248,0.8831
Gradient Boosting,0.732,0.8831
Gradient Boosting,0.7404,0.8831
Gradient Boosting,0.7404,0.8896
Gradient Boosting,0.7416,0.8896
Gradient Boosting,0.7512,0.9026
Gradient Boosting,0.762,0.9091
Gradient Boosting,0.7632,0.9156
Gradient Boosting,0.7668,0.9156
Gradient Boosting,0.768,0.9156
Gradient Boosting,0.7849,0.9221
Gradient Boosting,0.7933,0.9351
Gradient Boosting,0.7969,0.9416
Gradient Boosting,0.7993,0.9416
Gradient Boosting,0.8017,0.9416
Gradient Boosting,0.8065,0.9416
Gradient Boosting,0.8137,0.9416
Gradient Boosting,0.9868,1.0
Gradient Boosting,0.9916,1.0
Gradient Boosting,0.994,1.0
Gradient Boosting,0.9976,1.0
Gradient Boosting,1.0,1.0
